sequence,frame,pred_index,gt_person,full_pred_neutral_mpjpe_mm,full_pred_neutral_pve_mm,full_pred_neutral_pa_mpjpe_mm,full_pred_neutral_pa_pve_mm,full_pred_neutral_metric_mpjpe_mm,full_pred_neutral_metric_pve_mm,full_pred_neutral_root_error_mm,pred_pose_gt_beta_mpjpe_mm,pred_pose_gt_beta_pve_mm,pred_pose_gt_beta_pa_mpjpe_mm,pred_pose_gt_beta_pa_pve_mm,pred_pose_gt_beta_metric_mpjpe_mm,pred_pose_gt_beta_metric_pve_mm,pred_pose_gt_beta_root_error_mm,gt_pose_pred_beta_mpjpe_mm,gt_pose_pred_beta_pve_mm,gt_pose_pred_beta_pa_mpjpe_mm,gt_pose_pred_beta_pa_pve_mm,gt_pose_pred_beta_metric_mpjpe_mm,gt_pose_pred_beta_metric_pve_mm,gt_pose_pred_beta_root_error_mm,gt_pose_gt_beta_neutral_mpjpe_mm,gt_pose_gt_beta_neutral_pve_mm,gt_pose_gt_beta_neutral_pa_mpjpe_mm,gt_pose_gt_beta_neutral_pa_pve_mm,gt_pose_gt_beta_neutral_metric_mpjpe_mm,gt_pose_gt_beta_neutral_metric_pve_mm,gt_pose_gt_beta_neutral_root_error_mm
downtown_arguing_00,0,0,0,36.608482360839844,44.286136627197266,26.271135330200195,35.55952835083008,3968.83544921875,3974.270751953125,3978.00439453125,63.00661849975586,72.89393615722656,25.590999603271484,32.49586486816406,3965.568115234375,3966.4013671875,3976.287841796875,22.574413299560547,23.122861862182617,17.96685028076172,18.125778198242188,3962.762451171875,3963.192138671875,3970.219970703125,56.32674789428711,61.388877868652344,16.376466751098633,13.710274696350098,3960.1416015625,3956.68701171875,3969.1259765625
downtown_arguing_00,0,1,1,58.494625091552734,62.205238342285156,27.98607635498047,28.35019302368164,3807.847412109375,3803.810791015625,3829.92041015625,61.47402572631836,65.28028869628906,27.210039138793945,29.60407257080078,3808.355712890625,3805.635498046875,3829.494873046875,23.668025970458984,22.85249137878418,14.01710319519043,9.964425086975098,3797.2412109375,3796.553466796875,3814.105712890625,32.24781799316406,28.708757400512695,15.685319900512695,12.395441055297852,3796.3623046875,3797.264404296875,3813.0458984375
downtown_arguing_00,1,0,0,35.8591194152832,45.15863037109375,26.819612503051758,36.365509033203125,3972.39453125,3979.1494140625,3978.13330078125,62.11374282836914,72.15533447265625,26.331405639648438,33.45281219482422,3968.980224609375,3971.114990234375,3976.41162109375,22.718597412109375,23.268842697143555,18.001075744628906,18.19162940979004,3962.90869140625,3963.264892578125,3970.73095703125,56.331199645996094,61.31975555419922,16.402076721191406,13.707661628723145,3960.564453125,3957.1728515625,3969.599609375
downtown_arguing_00,1,1,1,59.740535736083984,63.44585037231445,27.11387062072754,28.6070556640625,3811.181640625,3807.061767578125,3831.002197265625,62.26738357543945,66.21004486083984,26.51818084716797,30.053796768188477,3812.26806640625,3809.43603515625,3830.750732421875,24.356130599975586,23.660358428955078,14.087698936462402,10.068007469177246,3798.180419921875,3797.615478515625,3815.302001953125,32.152584075927734,28.541889190673828,15.673086166381836,12.284387588500977,3797.78662109375,3798.799560546875,3814.47509765625
downtown_arguing_00,2,0,0,36.36348342895508,46.786109924316406,27.972129821777344,37.53121566772461,3973.10595703125,3980.4033203125,3977.881103515625,62.26335525512695,72.38525390625,27.7040958404541,34.69318771362305,3969.6044921875,3972.268798828125,3976.103759765625,22.674541473388672,23.30838966369629,18.045291900634766,18.332971572875977,3962.8837890625,3963.223876953125,3970.870849609375,56.329837799072266,61.26447296142578,16.42020606994629,13.716177940368652,3960.640625,3957.309814453125,3969.651611328125
downtown_arguing_00,2,1,1,55.744956970214844,59.016212463378906,26.459074020385742,29.084854125976562,3813.124267578125,3810.271240234375,3831.3720703125,58.87531661987305,62.297828674316406,26.119997024536133,30.614973068237305,3813.526123046875,3811.921630859375,3830.8798828125,23.900739669799805,23.07276725769043,13.973362922668457,9.982084274291992,3800.002685546875,3799.559326171875,3816.82373046875,32.08171463012695,28.427471160888672,15.632926940917969,12.192734718322754,3799.0908203125,3800.174560546875,3815.775390625
downtown_arguing_00,3,0,0,36.97865676879883,48.41395568847656,28.366273880004883,38.09315872192383,3974.542236328125,3982.317138671875,3977.488525390625,62.694244384765625,73.05045318603516,28.24741554260254,35.25542449951172,3970.928955078125,3974.073486328125,3975.669189453125,22.591068267822266,23.288862228393555,18.078189849853516,18.43309783935547,3962.59375,3962.9404296875,3970.730224609375,56.32648468017578,61.21913528442383,16.432817459106445,13.72394847869873,3960.474853515625,3957.21826171875,3969.451904296875
downtown_arguing_00,3,1,1,54.065635681152344,57.2884521484375,26.263545989990234,29.662328720092773,3814.843994140625,3812.574951171875,3831.81640625,57.53055191040039,60.83266830444336,26.110332489013672,31.206344604492188,3815.043212890625,3814.05859375,3831.263916015625,23.64895248413086,22.747526168823242,13.965919494628906,9.991077423095703,3801.185546875,3800.771484375,3817.943359375,32.02598571777344,28.334396362304688,15.618644714355469,12.134882926940918,3800.13427734375,3801.27880859375,3816.841552734375
downtown_arguing_00,4,0,0,37.90502166748047,50.50898361206055,28.84758758544922,38.62281036376953,3975.472412109375,3983.80224609375,3976.679443359375,63.195674896240234,74.05721282958984,28.7864990234375,35.78358459472656,3971.900390625,3975.623291015625,3974.87548828125,22.684280395507812,23.345046997070312,18.08713722229004,18.4061222076416,3961.83837890625,3962.160888671875,3970.164794921875,56.310340881347656,61.17803192138672,16.431747436523438,13.717412948608398,3959.968017578125,3956.78271484375,3968.885498046875
downtown_arguing_00,4,1,1,55.675811767578125,59.05384063720703,26.60300636291504,30.29191017150879,3816.845703125,3814.52294921875,3833.221435546875,59.00015640258789,62.54170227050781,26.517133712768555,31.835277557373047,3817.10009765625,3816.093017578125,3832.6953125,23.486644744873047,22.545297622680664,13.982068061828613,10.01893138885498,3802.16162109375,3801.7353515625,3818.93212890625,31.993619918823242,28.282211303710938,15.609322547912598,12.10579776763916,3801.1005859375,3802.283447265625,3817.824951171875
