sequence,frame,pred_index,gt_person,temporal_applied,base_pa_mpjpe_mm,base_mpjpe_mm,base_pve_mm,base_pa_pve_mm,base_metric_mpjpe_mm,base_metric_pve_mm,base_root_error_mm,temporal_pa_mpjpe_mm,temporal_mpjpe_mm,temporal_pve_mm,temporal_pa_pve_mm,temporal_metric_mpjpe_mm,temporal_metric_pve_mm,temporal_root_error_mm
downtown_arguing_00,0,0,0,0,26.271135330200195,36.608524322509766,44.28611373901367,35.55952453613281,67.80883026123047,76.69194030761719,69.3100814819336,26.271135330200195,36.608524322509766,44.28611373901367,35.55952453613281,67.80883026123047,76.69194030761719,69.3100814819336
downtown_arguing_00,0,1,1,0,27.986072540283203,58.49463653564453,62.20523452758789,28.350196838378906,66.21424865722656,68.8381576538086,25.295787811279297,27.986072540283203,58.49463653564453,62.20523452758789,28.350196838378906,66.21424865722656,68.8381576538086,25.295787811279297
downtown_arguing_00,1,0,0,0,26.819622039794922,35.85914993286133,45.158599853515625,36.36551284790039,69.96851348876953,79.75157928466797,68.11512756347656,26.819622039794922,35.85914993286133,45.158599853515625,36.36551284790039,69.96851348876953,79.75157928466797,68.11512756347656
downtown_arguing_00,1,1,1,0,27.113876342773438,59.740535736083984,63.44583511352539,28.607053756713867,72.33197784423828,75.26908111572266,36.17568588256836,27.113876342773438,59.740535736083984,63.44583511352539,28.607053756713867,72.33197784423828,75.26908111572266,36.17568588256836
downtown_arguing_00,2,0,0,0,27.972131729125977,36.363494873046875,46.78614044189453,37.53121566772461,72.08615112304688,82.36640167236328,69.21160888671875,27.972131729125977,36.363494873046875,46.78614044189453,37.53121566772461,72.08615112304688,82.36640167236328,69.21160888671875
downtown_arguing_00,2,1,1,0,26.459064483642578,55.74497604370117,59.0162467956543,29.08485221862793,68.2691879272461,71.07377624511719,35.1660270690918,26.459064483642578,55.74497604370117,59.0162467956543,29.08485221862793,68.2691879272461,71.07377624511719,35.1660270690918
downtown_arguing_00,3,0,0,0,28.366273880004883,36.9786491394043,48.41400146484375,38.09317398071289,71.3884506225586,82.28302764892578,65.76219940185547,28.366273880004883,36.9786491394043,48.41400146484375,38.09317398071289,71.3884506225586,82.28302764892578,65.76219940185547
downtown_arguing_00,3,1,1,0,26.263565063476562,54.06563949584961,57.28846740722656,29.66232681274414,65.00735473632812,67.88957977294922,32.613189697265625,26.263565063476562,54.06563949584961,57.28846740722656,29.66232681274414,65.00735473632812,67.88957977294922,32.613189697265625
downtown_arguing_00,4,0,0,1,28.847576141357422,37.90499496459961,50.50895690917969,38.622833251953125,68.89812469482422,80.80221557617188,60.589576721191406,28.845121383666992,37.90005111694336,50.495887756347656,38.62224197387695,68.89276123046875,80.79261016845703,60.59303283691406
downtown_arguing_00,4,1,1,1,26.603002548217773,55.675819396972656,59.05384826660156,30.29192352294922,62.43073654174805,65.354248046875,26.867286682128906,26.601797103881836,55.68167495727539,59.06051254272461,30.295358657836914,62.4380989074707,65.36772918701172,26.86703109741211
