region,valid,gate,logvar,uncertainty,vote_x_m,vote_y_m,vote_z_m,vote_norm_m
0,1,0.99999917,1.9862142,7.287891,-0.0008902721456252038,0.001111670397222042,0.002568189986050129,0.002936664
1,1,1.0,1.8431298,6.316275,-4.814837666344829e-05,-0.0020663838367909193,0.0024787127040326595,0.0032274257
2,1,0.9999999,1.4917356,4.444803,0.0006855437532067299,-0.00036704924423247576,-0.0013934089802205563,0.0015957081
3,1,0.99999976,3.3767514,29.27551,-0.0008653884870000184,-0.00039574928814545274,0.0046855309046804905,0.0047811833
4,1,0.99999833,0.88733846,2.428657,0.0017173312371596694,0.0022677802480757236,-0.0016716010868549347,0.00329944
5,1,0.99999666,-0.90812284,0.40328053,0.0017840499058365822,0.0009667044505476952,0.01716810278594494,0.017287599
6,1,1.0,0.9438541,2.5698671,0.0004918631166219711,0.005638539791107178,0.007887913845479488,0.009708462
7,1,1.0,-0.77228665,0.46195552,0.0011810306459665298,0.0004298196581657976,0.007464504335075617,0.007569571
8,1,1.0,0.76366943,2.1461368,0.0005130991921760142,0.004325343761593103,0.010500386357307434,0.011367937
9,1,1.0,0.12044154,1.1279948,0.000592545373365283,0.0037908947560936213,0.0021932751405984163,0.004419553
10,1,0.99999845,-1.5807141,0.20582806,9.415726526640356e-05,-0.00010853508865693584,0.0029379180632531643,0.0029414296
11,1,1.0,0.990647,2.6929762,0.00013684082659892738,0.0033622323535382748,0.0024447499308735132,0.004159343
12,1,1.0,0.105751246,1.1115454,0.0014162102015689015,0.004038695245981216,0.026902474462985992,0.027240776
13,1,0.9999999,-0.020721463,0.9794918,0.0007635182701051235,0.004649746231734753,0.0026019776705652475,0.0053826934
14,1,1.0,-0.6782272,0.5075159,0.0011826693080365658,0.0013997816713526845,0.006813171319663525,0.00705531
15,1,1.0,1.1824512,3.262361,0.00020092708291485906,0.005299502518028021,-0.0014183239545673132,0.005489694
16,1,0.99999976,0.0060111843,1.0060292,-0.00011248539522057399,0.0028830403462052345,-0.002112515037879348,0.0035759325
17,1,1.0,0.9606174,2.6133096,8.584906026953831e-05,0.003815260250121355,-0.001997108571231365,0.004307206
18,1,0.99999905,-0.22840041,0.7958055,0.0002672018890734762,-0.0007059460040181875,0.032453976571559906,0.032462753
19,1,1.0,1.3254145,3.763745,0.00040369710768572986,0.005647736135870218,0.013576584868133068,0.014709981
